"45512252,12/04/2015"
"45512522,05/06/2015"
"45254822,03/05/2015"
"45221522,20/07/2015"
"45227855,25/01/2015"
"45225851,13/02/2015"
"45221545,18/08/2015"
"45222124,20/12/2015"
"45232785,06/02/2016"
"45235654,05/03/2016"
"45235451,15/05/2016"
"45236545,20/05/2016"
"45237854,22/06/2016"
"45237864,14/04/2016"
"45237912,13/03/2016"
"45238945,16/04/2016"
"45238955,15/01/2017"
"45239454,02/01/2017"
"45239551,06/02/2017"
"45239560,18/05/2017"
"45239789,25/06/2017"
"45239840,12/03/2017"
"45239856,17/02/2017"
"45245220,15/11/2017"   
